listeria	3000	341.92	507424
pneumo	3000	2788.31	531264
staph	3000	932.80	511600
listeria	10000	386.34	507440
pneumo	10000	3368.52	592336
staph	10000	1085.63	511392
listeria	30000	500.43	507456
pneumo	30000	4948.16	1751696
staph	30000	1508.67	814880
listeria	100000	921.74	1207808
pneumo	100000	10922.20	5788976
staph	100000	3022.28	2677760
listeria	300000	2096.09	3605936
pneumo	300000	27703.17	17333040
staph	300000	7741.29	7994032
